"","symbol","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"116","CASK",1,0.913899755940149,0.831775728315097,0.813676484656327
"117","Cat",0.738069866935521,0.735248164303749,0.903947899613596,1
"118","caup",0.676473759860661,0.793808917634172,0.968288930611256,1
"119","Ccdc85",1,0.923383692506912,0.790547977082016,0.873089469444955
"120","CCKLR-17D3",0.339244745117561,0.452701879814777,0.763848269950753,1
"121","CD98hc",0.538197988239818,0.657356718861375,0.935692816475183,1
"122","Cda4",1,0.812210078388575,0.626487737076095,0.602278950527212
"123","cdc14",1,0.873036752949834,0.69813321809205,0.754222107802367
"124","Cdc5",1,0.938418741969371,0.837838021666872,0.839934448866497
"125","Cdep",0.781607853027441,0.840938948919621,0.924855304730172,1
"126","Cdk4",0.525339810219914,0.700812682008926,0.939834746637779,1
"127","Cdk7",1,0.828733247111762,0.689478359502342,0.627683136840265
"128","Cenp-C",1,0.907051264010319,0.780868353611249,0.701654334122432
"129","Cep135",1,0.851383252493218,0.782160911283132,0.691283418219852
"130","Cerk",1,0.872160759709869,0.460145640270641,0.354843593911957
"131","cert",1,0.942546185081357,0.841274272804866,0.767059312823307
"132","CG10005",0.298583517766981,0.508474854949124,0.754230464832079,1
"133","CG10026",0.0116424930404245,0.0615923674336552,0.368775121474673,1
"134","CG10098",0.555106725211431,0.6526782264855,0.831435988042948,1
"135","CG10211",0.840604554790937,1,0.633779290756583,0.589204403292278
"136","CG10254",0.786136052983662,0.849605619711065,1,0.991995254242546
"137","CG10283",0.162272562244787,0.18272205935723,0.616470412539264,1
"138","CG10359",0.237124503640786,0.551204505671903,0.95858713364955,1
"139","CG10376",1,0.887311398662621,0.773743708605071,0.718903426108106
"140","CG10413",0.75283636520969,0.804672352573693,0.966606523135938,1
"141","CG10445",1,0.768416581842912,0.591648431819131,0.660300811951575
"142","CG10462",1,0.880616883716327,0.829518891331593,0.691214750480959
"143","CG10663",0.0765522379028966,0.228323989830104,0.807766213477619,1
"144","CG10877",1,0.934700478552966,0.634258353503046,0.568999175211418
"145","CG10916",0.584712507282807,0.69900194250811,0.745178160872446,1
