"","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"Inx3",0.650825993802119,0.777228434110762,0.910564215133552,1
"IP3K2",0.626374195866312,0.721478339504385,0.877522605555138,1
"Ipk2",0.768045085355697,0.849096781078174,1,0.998298175607063
"Ire1",0.790348225054121,0.791948447826561,0.883217398463019,1
"Irp-1B",0.713123662614132,0.839495855731797,0.891604822536093,1
"jar",0.230026879496623,0.391215469357071,0.737655978434789,1
"jing",0.315752524018807,0.527415853731112,0.811644568420017,1
"jub",0.798047670550276,0.826593696446,1,0.992382286882298
"Kap3",0.750120133170452,0.80882721575266,0.980134629107208,1
"kay",0.67412875823845,0.753455203027871,0.82359425059541,1
"Keap1",0.416856618990502,0.586657019699138,1,0.939028905211032
"Khc",0.828427717467313,0.86773602266085,0.934970990471566,1
"kis",0.788558689072212,0.83171644385908,0.924351118439287,1
"kkv",0.629193270027125,0.811579745602167,0.872519882221707,1
"Klc",0.813276236145298,0.884973877145967,0.961532361168193,1
"klu",0.71794892475259,0.741471126279711,0.837689969578521,1
"kn",0.710176517516386,0.771101287536107,0.938696727065667,1
"knrl",0.574421866504464,0.707528792153172,1,0.966779021476872
"ko",0.523673954501915,0.666868512031838,0.803045729523749,1
"koko",0.627003844024607,0.768515390224998,0.93296977518573,1
"kon",0.612513789120442,0.67441656199381,0.771111054704695,1
"kra",0.446998584160451,0.660319930262993,0.962379825173696,1
"Kul",0.80091665348082,0.832331358494695,0.957511944257284,1
"kuz",0.672939484739944,0.727029409430134,0.866721552254447,1
"l(1)G0469",0.388896744992911,0.585869810665092,0.716864320058893,1
"l(2)k05911",0.402403514745965,0.586065830046584,0.873896105198825,1
"l(3)L1231",0.611938223183705,0.7096502677147,0.856700869107146,1
"Lac",0.670479922292292,0.807333195273217,0.90160185195547,1
"LanA",0.695953645878913,0.741814169462764,0.830269508149864,1
"Ldh",0.105121417621157,0.221163649102302,0.527840723595138,1
"LeuRS",0.832563672738296,0.894480362280741,0.965138958761014,1
"lft",0.814078873911026,0.848367658845863,0.982405891025322,1
"lig",0.570349121364089,0.671031695356935,0.891031428638453,1
"lilli",0.740908908260876,0.762365737308017,0.902053499791407,1
"lin",0.819455385149251,0.89425088440702,1,0.979351418396644
"Lis-1",0.798769806550955,0.861819126163684,0.947836589477829,1
"lncRNA:CR33938",0.175997635171696,0.336470380134534,0.653132355538773,1
"lncRNA:CR43334",0.189530196407834,0.501286405367939,1,0.961328418370055
"lncRNA:CR43432",0.366951509514658,0.605280673212632,0.927592083487358,1
"lncRNA:CR44811",0.533577649602967,0.688527514838244,0.896955667742873,1
"lncRNA:CR45102",0.462054352103411,0.60554182322572,1,0.943477573664613
"lncRNA:CR45920",0.15930190544652,0.318462760711106,0.528042776817589,1
"LPCAT",0.432934127586703,0.59661856478666,0.78840675947944,1
"LpR2",0.722535262988959,0.842176274794518,0.951659429682086,1
"lqf",0.724199447366241,0.772612131316139,0.899963386110518,1
"LRP1",0.657081788871919,0.779372682288504,0.883134041870273,1
"lute",0.57777940636729,0.77857924768738,0.95465028469234,1
"M6",0.812072560099264,0.846423831981074,0.938680853756317,1
"mab-21",0.623265102324215,0.785435991676779,0.961368517949048,1
"mam",0.304562564322085,0.446254735452472,0.809408890870022,1
"Mdr49",0.56697137139404,0.573939351757503,0.622759451750124,1
"Med",0.853826742332482,0.871387443734452,0.991367821390884,1
"MED19",0.796724901757575,0.822301682503168,0.936390331242489,1
"Mes2",0.156505145386871,0.437664202331868,1,0.961372103377898
"MESR3",0.35244506773629,0.410713279657214,0.870333621280925,1
"MESR6",0.326558159868168,0.513060238709996,0.907515166199324,1
"mey",0.647337118569473,0.850976295715357,0.962859954555906,1
"MFS18",0.66646272013462,0.762036599770239,1,0.891192207517342
"Mhcl",0.794921513709979,0.859752979076645,0.972509109633943,1
"milt",0.715473855985349,0.753784771282486,0.885437542316991,1
"mirr",0.726082895987834,0.864944005937149,0.953689115376043,1
"Mkp3",0.487992229269548,0.64703609060086,0.817174471592773,1
"Mlc2",0.652164862029034,0.739461217906151,0.748952725760679,1
"mlt",0.529437413598276,0.682397231781174,0.892512323003277,1
"Mmp2",0.37298182086288,0.463169602820836,0.669998041349194,1
"mnb",0.431106063326278,0.54930124080339,0.846644112300338,1
"mnd",0.102864135493869,0.149893404438254,0.830468541754972,1
"Mnt",0.491072260968454,0.643738262899294,0.918464966269172,1
"Mo25",0.806546473297658,0.825749241152975,0.90238440397043,1
"Mondo",0.672220893833146,0.746630460439717,0.853109854853953,1
"mop",0.811158062513188,0.828669893880893,0.892891135717566,1
"Mp",0.137727373037096,0.421248881683581,0.931541370816867,1
"mtgo",0.289029466419936,0.443984763038265,0.76509604747761,1
"Mtl",0.769976748821088,0.79296112890189,0.986379262095875,1
"mura",0.745059265465071,0.785035521993243,0.848388329068662,1
"Mvd",0.641314082943345,0.739181012911409,0.836640626585094,1
"nab",0.601260001575163,0.891660593416482,1,0.907216440330327
"NAT1",0.460191496130102,0.578351777505592,0.863807242896369,1
"Ncc69",0.674987854516676,0.810203959258827,0.872293528393086,1
"Nct",0.801010491415532,0.828954362643405,0.965942838628217,1
"nemy",0.0290325774283493,0.13044017428891,0.594787127868432,1
"neo",0.0931978781274861,0.233906299120241,0.734697848243303,1
"Nep2",0.213966834986714,0.301215150167604,0.760802834123803,1
"NijA",0.578386576811054,0.752766069406123,0.898352533953411,1
"NK7.1",0.586061162332989,0.702217868613485,0.88344625176725,1
"NKAIN",0.755107723171165,0.782242358824154,0.885779339363928,1
"nkd",0.51576181455178,0.648693122575515,0.768735832597783,1
"nmo",0.0683135073470434,0.2706693317778,0.759540665444582,1
"noc",0.733867959669184,0.792606142259414,0.931290155421594,1
"nocte",0.84258777584573,0.888647155030994,0.989343464196754,1
"Nopp140",0.743636412934879,0.911220865905054,1,0.926221732872111
"not",0.382185358614562,0.498527928667333,0.934132953572857,1
